"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","latitude","longitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"612",3355228741,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/93455910","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla beringei","beringei","SUBSPECIES","Gorilla beringei beringei","Gorilla beringei beringei","","RW","","Amajyaruguru","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.519024,29.780778,31446,NA,NA,NA,NA,NA,"2015-11-22T10:31",22,11,2015,4267319,7262070,"HUMAN_OBSERVATION","iNaturalist","Observations","93455910","","Michal Sloviak","2021-09-03T10:48:55","CC_BY_NC_4_0","Petzenbär","Petzenbär","","","2024-11-25T06:37:56.677Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"613",3355120173,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/92923641","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla","","GA","","Ogooué-Lolo","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",0.096009,12.83731,66508,NA,NA,NA,NA,NA,"2007-10-31T14:14",31,10,2007,4267318,2436441,"HUMAN_OBSERVATION","iNaturalist","Observations","92923641","","Lucy Keith-Diagne","2021-08-29T16:17:57","CC_BY_4_0","Lucy Keith-Diagne","Lucy Keith-Diagne","","","2024-11-25T06:38:05.647Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"614",3338052959,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/91758143","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla beringei","beringei","SUBSPECIES","Gorilla beringei beringei","Gorilla beringei beringei","","UG","","Kisoro","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.018406,29.742058,31448,NA,NA,NA,NA,NA,"2017-04-01T12:02",1,4,2017,4267319,7262070,"HUMAN_OBSERVATION","iNaturalist","Observations","91758143","","Michal Sloviak","2021-08-19T17:34:33","CC_BY_NC_4_0","stikish","stikish","","","2024-11-25T06:37:54.507Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"615",3337479198,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/90407498","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla beringei","beringei","SUBSPECIES","Gorilla beringei beringei","Gorilla beringei beringei","","UG","","Kanungu","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.024043,29.686078,31448,NA,NA,NA,NA,NA,"2021-07-27T16:04",27,7,2021,4267319,7262070,"HUMAN_OBSERVATION","iNaturalist","Observations","90407498","","Michal Sloviak","2021-08-08T18:47:44","CC_BY_NC_4_0","Miquel Rafa","Miquel Rafa","","","2024-11-25T06:38:15.399Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"616",3335522448,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/89945286","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla beringei","beringei","SUBSPECIES","Gorilla beringei beringei","Gorilla beringei beringei","","RW","","Amajyaruguru","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.445218,29.99206,31446,NA,NA,NA,NA,NA,"2016-09-11T11:32",11,9,2016,4267319,7262070,"HUMAN_OBSERVATION","iNaturalist","Observations","89945286","","Susanne Spindler","2021-08-04T19:46:51","CC_BY_NC_4_0","Susanne Spindler","Susanne Spindler","","","2024-11-25T07:08:10.256Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"617",3325560749,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/85438190","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla","","GA","","Nyanga","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-2.868204,10.203361,31431,NA,NA,NA,NA,NA,"2014-09-19T09:19",19,9,2014,4267318,2436441,"HUMAN_OBSERVATION","iNaturalist","Observations","85438190","","napoleon1799","2021-07-03T10:44:55","CC_BY_NC_4_0","Keith Minton","Keith Minton","","","2024-11-25T07:07:35.675Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"618",3302414735,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/82029755","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla beringei","beringei","SUBSPECIES","Gorilla beringei beringei","Gorilla beringei beringei","","UG","","Kisoro","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.156085,29.629387,31448,NA,NA,NA,NA,NA,"2018-07-27T10:58",27,7,2018,4267319,7262070,"HUMAN_OBSERVATION","iNaturalist","Observations","82029755","","Michal Sloviak","2021-06-07T15:22:09","CC_BY_4_0","HUANG QIN","HUANG QIN","","","2024-11-25T06:36:39.357Z","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"619",3302035933,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/82396694","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla beringei","beringei","SUBSPECIES","Gorilla beringei beringei","Gorilla beringei beringei","","CD","","Kivu","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.262775,29.575821,31447,NA,NA,NA,NA,NA,"2007-08-20T11:51:12",20,8,2007,4267319,7262070,"HUMAN_OBSERVATION","iNaturalist","Observations","82396694","","Markus Källander","2021-06-10T08:20:00","CC_BY_NC_4_0","Markus Källander","Markus Källander","","","2024-11-25T07:10:50.093Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"620",3125646330,"b15d4952-7d20-46f1-8a3e-556a512b04c5","http://arctos.database.museum/guid/MSB:Mamm:334306?seid=5065826","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla","","US","Albuquerque BioPark Zoo, Albuquerque","New Mexico","PRESENT",NA,"939ed180-aa7b-11db-8edf-b8a03c50a862",35.078382,-106.663485,500,NA,NA,NA,NA,NA,"2016/7/22",22,7,2016,4267318,2436441,"PRESERVED_SPECIMEN","MSB","Mamm","MSB:Mamm:334306","","ABQ BioPark","2021-04-30T00:00:00","CC0_1_0","","Collector(s): ABQ BioPark; Preparator(s): Museum of Southwestern Biology, Division of Genomic Resources","","","2024-10-28T00:39:50.081Z","","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"621",3125646329,"b15d4952-7d20-46f1-8a3e-556a512b04c5","http://arctos.database.museum/guid/MSB:Mamm:334301?seid=5065821","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla","","US","Albuquerque BioPark Zoo, Albuquerque","New Mexico","PRESENT",NA,"939ed180-aa7b-11db-8edf-b8a03c50a862",35.078382,-106.663485,500,NA,NA,NA,NA,NA,"2019/3/18",18,3,2019,4267318,2436441,"PRESERVED_SPECIMEN","MSB","Mamm","MSB:Mamm:334301","","ABQ BioPark","2021-04-30T00:00:00","CC0_1_0","","Collector(s): ABQ BioPark; Preparator(s): Museum of Southwestern Biology, Division of Genomic Resources","","","2024-10-28T00:39:50.080Z","","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
